"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"30401038";"2024";65.00;12619.85
"30401046";"2023";9.00;5433.44
"30401054";"2023";321.00;83335.84
"30401054";"2024";257.00;63070.06
"30401100";"2023";12.00;2422.88
"30401100";"2024";7.00;1601.32
"30402018";"2023";53079.00;1918935.26
"30402018";"2024";46719.00;1712300.93
"30402026";"2023";306.00;37289.69
"30402026";"2024";102.00;12941.09
"30402034";"2023";50.50;13396.75
"30402034";"2024";37.00;12193.27
"30402042";"2023";16314.00;2208074.98
"30402042";"2024";8968.00;1248451.77
"30402050";"2023";41.00;8860.87
"30402050";"2024";15.00;3347.11
"30402077";"2023";1619.00;96440.43
"30402077";"2024";822.00;60948.31
"30402093";"2023";4.00;774.56
"30403014";"2023";76.00;2763.86
"30403014";"2024";11.00;247.24
"30403103";"2023";209.00;6161.98
"30403103";"2024";23.00;1594.76
"30403162";"2023";591.00;21430.08
"30403162";"2024";475.00;15640.24
"30501016";"2023";408.00;42633.68
"30501016";"2024";162.00;22301.71
"30501024";"2023";3.00;1411.06
"30501024";"2024";1.00;172.66
"30501059";"2023";169.00;5246.86
"30501059";"2024";28.00;2060.08
"30501067";"2023";2261.40;306224.29
"30501067";"2024";164.00;38744.25
"30501075";"2023";229.00;15011.16
"30501075";"2024";4.00;385.24
"30501083";"2023";2115.00;164803.97
"30501083";"2024";1103.00;90088.36
"30501091";"2023";25.00;4068.98
"30501091";"2024";13.00;3409.37
"30501113";"2023";1995.00;164171.65
"30501113";"2024";856.00;69304.55
"30501121";"2023";18.00;15563.48
"30501130";"2023";17.00;9906.29
"30501130";"2024";4.00;1831.42
"30501156";"2023";48.00;13013.61
"30501156";"2024";40.00;11132.40
"30501164";"2023";598.00;81153.94
"30501164";"2024";138.00;20186.36
"30501172";"2023";6.00;2499.77
"30501172";"2024";1.00;451.97
"30501199";"2023";10.00;2329.96
"30501199";"2024";1.00;4361.12
"30501237";"2023";27.00;8235.11
"30501237";"2024";3.00;1189.12
"30501288";"2023";45.00;8594.68
"30501288";"2024";17.00;15342.44
"30501377";"2023";74.00;5221.26
"30501377";"2024";9.00;685.68
"30501440";"2023";15.00;4611.66
"30501440";"2024";1.00;7000.00
"30501474";"2023";5.00;1372.87
"30501474";"2024";2.00;294.43
"30501482";"2023";23.00;22758.68
"30501482";"2024";1.00;1966.50
"30501547";"2023";3.00;313.40
"30502160";"2023";5.00;1602.86
"30502179";"2023";407.00;53098.29
"30502179";"2024";1.00;213.49
"30502195";"2023";2.00;437.68
"30502195";"2024";2.00;559.10
"30601223";"2024";3.00;5217.00
"30601231";"2023";155.00;15542.48
"30601231";"2024";4.00;158.03
"30601266";"2023";39.00;17103.00
"30601266";"2024";11.00;5197.50
"30601304";"2023";124.00;6876.19
"30601304";"2024";9.00;459.84
"30602017";"2023";61.00;21785.42
"30602017";"2024";25.00;4775.30
"30602025";"2023";33.00;746.44
"30602025";"2024";4.00;67.29
"30602050";"2023";106.00;17779.53
"30602050";"2024";57.00;13920.91
"30602068";"2023";597.00;18339.00
"30602068";"2024";402.00;11996.09
"30602181";"2023";14536.00;2740617.77
"30602181";"2024";12186.00;2595325.59
"30602335";"2023";36.00;7856.27
"30602335";"2024";10.00;4138.52
"30710014";"2023";828.00;104876.92
"30710014";"2024";542.00;61714.74
"30710022";"2023";2868.00;270103.03
"30710022";"2024";2397.00;187230.71
"30710030";"2023";215.00;44177.75
"30710030";"2024";91.00;10091.83
"30710057";"2023";104.00;13781.93
"30710057";"2024";59.00;6706.94
"30711010";"2023";26135.00;360114.77
"30711010";"2024";13574.00;192939.22
"30711029";"2023";19399.90;511087.88
"30711029";"2024";15419.00;445182.42
"30711037";"2023";18975.20;272394.31
"30711037";"2024";13612.00;206885.89
"30712017";"2023";4308.50;114592.99
"30712017";"2024";3217.00;89844.09
"30712025";"2023";5846.00;155338.59
"30712025";"2024";3626.00;101751.89
"30712033";"2023";1262.00;31959.03
"30712033";"2024";185.00;5273.41
"30712041";"2023";956.00;35398.53
"30712041";"2024";13.00;598.93
"30712050";"2023";482.00;24173.76
"30712050";"2024";258.00;20575.96
"30712068";"2023";0;0
"30712076";"2023";31.00;5456.13
"30712076";"2024";12.00;1658.22
"30712084";"2023";1175.00;39846.51
"30712084";"2024";826.00;31091.43
"30712092";"2023";4393.00;103923.79
"30712092";"2024";2511.00;55063.06
"30712114";"2023";53.00;3986.75
"30712114";"2024";31.00;2421.72
"30712122";"2023";154.00;13219.12
"30712122";"2024";40.00;2865.77
"30712130";"2023";4455.00;191449.93
"30712130";"2024";4565.00;209884.26
"30712149";"2023";26.00;2614.90
"30712149";"2024";4.00;260.18
"30713021";"2023";137.00;21450.39
"30713021";"2024";100.00;37381.87
"30713030";"2023";11.00;2615.53
"30713030";"2024";17.00;9724.45
"30713137";"2023";37702.04;3263495.63
"30713137";"2024";14586.00;1657331.47
"30713145";"2023";12260.00;836856.10
"30713145";"2024";7130.00;505337.70
"30714028";"2023";9.00;1382.92
"30714028";"2024";3.00;408.78
"30715040";"2023";8.00;1431.33
"30715121";"2023";189.00;21092.73
"30715121";"2024";33.00;3239.57
"30715130";"2023";51.00;7336.22
"30715130";"2024";1.00;122.43
"30715156";"2023";44.00;12264.82
"30715156";"2024";15.00;5387.38
"30715237";"2023";1839.00;307813.26
"30715237";"2024";553.00;90737.30
"30715253";"2023";797.00;125034.79
"30715253";"2024";586.00;115349.06
"30715407";"2023";3.00;557.24
"30717086";"2023";229.00;22328.15
"30717086";"2024";75.00;6762.55
"30717094";"2023";1156.00;154700.04
"30717094";"2024";749.00;101925.40
"30717175";"2023";41.00;4210.05
"30717175";"2024";22.00;2325.64
"30718040";"2023";195.00;33265.42
"30718040";"2024";112.00;20562.50
"30718066";"2023";241.00;21427.46
"30718066";"2024";89.00;8018.55
"30719070";"2023";313.00;24178.77
"30719070";"2024";108.00;8743.25
"30719097";"2023";1439.00;326506.98
"30719097";"2024";1376.00;290115.02
"30719119";"2023";716.00;93734.92
"30719119";"2024";805.00;90076.36
"30720044";"2023";5.00;871.26
"30720087";"2023";385.00;28081.27
"30720087";"2024";121.00;8158.19
"30720109";"2023";583.00;132718.66
"30720109";"2024";394.00;95129.15
"30721091";"2023";4.00;1078.40
"30721091";"2024";1.00;102.34
"30721130";"2023";727.00;57044.34
"30721130";"2024";207.00;14384.18
"30721156";"2023";50.00;5686.16
"30721156";"2024";24.00;2549.12
"30721172";"2023";47.00;4351.60
"30721172";"2024";18.00;2015.96
"30721180";"2023";824.00;190204.40
"30721180";"2024";267.00;60230.06
"30722012";"2023";16.00;1915.75
"30722012";"2024";9.00;821.92
"30722039";"2023";44.00;3763.87
"30722039";"2024";28.00;2405.77
"30722241";"2023";4.00;668.51
"30722241";"2024";7.00;343.41
"30722292";"2023";130.00;20312.68
"30722292";"2024";61.00;10755.96
"30722349";"2023";876.00;81633.00
"30722349";"2024";361.00;32578.25
